county,city,school
Illinois,Evanston,NORTHWSTRN UNIVERSITY
Guam,Mangilao,UNIV GUAM
Alameda,Hayward,CHABOT COLLEGE
Colorado,Westminster,FRONT RANGE CMTY COLLEGE
Arizona,Tempe,ARIZONA STATE UNIV
District of Columbia,Washington,HOWARD UNIVERSITY
New York,Garden City,NASSAU CMTY COLLEGE
Kentucky,Lexington,UNIV KENTUCKY LEXINGTON
Ohio,Oxford,MIAMI UNIVERSITY
Massachusetts,Cambridge,MASS INSTITUTE TECHNOLOGY
Texas,Houston,UNIV HOUSTON MAIN CAMPUS
Alameda,Oakland,HOLY NAMES UNIVERSITY
Alameda,Berkeley,UC BERKELEY
New York,Valhalla,WESTCHESTER COMMUNITY COLLEGE
Marin,Novato,COLLEGE OF MARIN
"CHINA, PEOPLES REPUBLIC",N/A,INSTITUTION IN THE FAR EAST
San Mateo,Belmont,NOTRE DAME DE NAMUR UNIV
Idaho,Moscow,UNIVERSITY OF IDAHO
RUSSIA,N/A,RUSSIA
Georgia,Dunwoody,GEORGIA PERIMETER COLLEGE DUN
Utah,Cedar City,SOUTHERN UTAH UNIVERSITY
New York,Poughkeepsi,VASSAR COLLEGE
Hawaii,"",HAWAII
Los Angeles,Los Angeles,UC LOS ANGELES EXTENSION
Oregon,Corvallis,OREGON STATE UNIVERSITY
Los Angeles,Pasadena,PASADENA CITY COLLEGE
Maryland,"",MARYLAND
New Jersey,Hoboken,STEVENS INST TECH
New York,Anndle Hdsn,BARD COLLEGE
Massachusetts,Boston,EMERSON COLLEGE
Ohio,Athens,OHIO UNIV ATHENS
Solano,Suisun City,SOLANO COMMUNITY COLLEGE
San Diego,San Marcos,PALOMAR COLLEGE
Los Angeles,Whittier,WHITTIER COLLEGE
Los Angeles,Woodlnd Hls,LOS ANGELES PIERCE COLLEGE
New York,New York,MARYMOUNT MANHATTAN COLLEGE
Massachusetts,S Hadley,MOUNT HOLYOKE COLLEGE
Santa Clara,Stanford,STANFORD UNIVERSITY
Yolo,Davis,UC DAVIS EXTENSION
Oregon,Ashland,SOUTHRN OREGON UNIVERSITY
Plumas,Quincy,FEATHER RIVER COLLEGE
New York,New York,CUNY THE CITY COLLEGE OF NY
Tulare,Porterville,PORTERVILLE COLLEGE
Riverside,Riverside,CALIF BAPTIST UNIVERSITY
Hawaii,Honolulu,KAPIOLANI COMMUNITY COLLEGE
Los Angeles,Rancho Palos Verdes,MARYMOUNT COLLEGE CA
San Francisco,San Francisco,CALIF COLL OF THE ARTS
Pennsylvania,Pittsburgh,UNIV PITTSBURGH PITTSBURGH
Illinois,Palos Hills,MORAINE VALLEY CMTY COLLEGE
ENGLAND,N/A,ENGLAND
Florida,Orlando,UNIV CENTRAL FLORIDA
Los Angeles,Van Nuys,LOS ANGELES VALLEY COLLEGE
Maryland,Apo,UNIV MARYLAND MANNHEIM CAMPUS
Maryland,Rockville,MONTGOMERY COLL ROCKVILLE
Pennsylvania,Univ Park,PENNSYLVANIA STATE UNIVERSITY
EGYPT,N/A,EGYPT
Santa Barbara,Snta Barbra,WESTMONT COLLEGE
Maryland,Annapolis,UNITED STATES NAVAL ACADEMY
Los Angeles,Santa Monica,SANTA MONICA COLLEGE
Massachusetts,Boston,BUNKER HILL CMTY COLLEGE
Michigan,E Lansing,MICHIGAN STATE UNIVERSITY
North Carolina,Greensboro,UNIV NORTH CAROLINA GREENSBORO
New Hampshire,Manchester,NOTRE DAME COLL NH
Florida,Gainesville,SANTA FE COLLEGE FLORIDA
Virginia,Sterling,NORTHERN VIRGINIA COMM COLG
Texas,Houston,HOUSTON COMMUNITY COLLEGE
Imperial,Imperial,IMPERIAL VALLEY COLLEGE
San Diego,San Diego,ALLIANT INTL UNIV SAN DIEGO
Marin,San Rafael,DOMINICAN UNIVERSITY CA
Santa Barbara,Santa Barbara,SANTA BARBARA CITY COLLEGE
Los Angeles,Valencia,COLLEGE OF THE CANYONS
Alaska,Anchorage,UNIVERSITY OF AK ANCHORAGE
Connecticut,New Haven,YALE UNIVERSITY
Kansas,Lawrence,UNIVERSITY OF KANSAS
Los Angeles,Glendale,GLENDALE COMMUNITY COLLEGE
Los Angeles,Malibu,PEPPERDINE UNIVERSITY
Alameda,Livermore,LAS POSITAS CMTY COLLEGE
Monterey,Monterey,MONTEREY PENINSULA COLLEGE
Idaho,Coeur D Aln,NORTH IDAHO COLLEGE
Illinois,Chicago,ILLINOIS INSTITUTE TECH
Washington,Olympia,EVERGREEN STATE COLLEGE
Washington,Bremerton,OLYMPIC COLLEGE
Missouri,Columbia,UNIV MISSOURI COLUMBIA
New Jersey,Somerville,RARITAN VALLEY CMTY COLLEGE
Washington,Tacoma,PIERCE COLLEGE
Utah,"",UTAH
Vermont,Middlebury,MIDDLEBURY COLLEGE
San Diego,San Diego,UNIV SAN DIEGO
San Luis Obispo,San Luis Obispo,CAL POLY SAN LUIS OBISPO
Florida,"",FLORIDA
Ventura,Thousand Oaks,CALIF LUTHERAN UNIVERSITY
Ventura,Thousand Ok,CALIF LUTHERAN UNIVERSITY
Fresno,Fresno,FRESNO CITY COLLEGE
Utah,Logan,UTAH STATE UNIVERSITY
Ohio,Columbus,OHIO STATE UNIV COLUMBUS
New York,New York,CUNY BARUCH COLLEGE
Los Angeles,La Mirada,BIOLA UNIVERSITY
San Bernardino,Rancho Cucamonga,CHAFFEY COLLEGE
Arizona,Tucson,PIMA CMTY COLLEGE
Washington,Tacoma,UNIVERSITY OF PUGET SOUND
Washington,Des Moines,HIGHLINE COMMUNITY COLLEGE
Fresno,Reedley,REEDLEY COLLEGE
Kansas,Overland Park,JOHNSON COUNTY COMMUNITY COLL
Colorado,Colordo Spg,COLORADO COLLEGE
Florida,Lake Worth,PALM BEACH STATE COLLEGE
Massachusetts,Amherst,UNIV MASS AMHERST
Orange,Fullerton,CSU FULLERTON
Siskiyou,Weed,COLLEGE OF THE SISKIYOUS
Connecticut,Middletown,WESLEYAN UNIVERSITY
New York,Hempstead,HOFSTRA UNIVERSITY
Washington,Bellingham,WHATCOM CMTY COLLEGE
Wisconsin,"",WISCONSIN
Illinois,Palatine,WILLIAM R HARPER COLLEGE
San Bernardino,Rnch Cmnga,CHAFFEY COLLEGE
San Diego,San Diego,SAN DIEGO CITY COLLEGE
San Mateo,San Bruno,SKYLINE COLLEGE
New York,Albany,SUNY CENTER AT ALBANY
Tennessee,Nashville,VANDERBILT UNIVERSITY
San Diego,La Jolla,UC SAN DIEGO EXTENSION
Ohio,Dayton,UNIVERSITY OF DAYTON
Ohio,Oberlin,OBERLIN COLG AND CONSERVATORY
Orange,Irvine,UC IRVINE EXTENSION
Connecticut,Southington,NEW ENGLAND BAPTIST COLLEGE
Louisiana,New Orleans,TULANE UNIVERSITY
Texas,San Antonio,UNIV TEXAS SAN ANTONIO
New York,Long Is Cty,CUNY LAGUARDIA COMMUNITY COLL
Florida,Miami,FLORIDA INTERNATIONAL UNIV
Oregon,Portland,LEWIS CLARK COLLEGE
Pennsylvania,Phildelphia,TEMPLE UNIVERSITY
Washington,Walla Walla,WHITMAN COLLEGE
Virginia,"",VIRGINIA
Texas,Ft Worth,TEXAS CHRISTIAN UNIVERSITY
San Diego,San Diego,SAN DIEGO MESA COLLEGE
Kern,Bakersfield,BAKERSFIELD COLLEGE
San Mateo,Redwood City,CANADA COLLEGE
Marin,Kentfield,COLLEGE OF MARIN
Orange,Fountain Valley,COASTLINE CMTY COLLEGE
Los Angeles,Monterey Park,EAST LOS ANGELES COLLEGE
Los Angeles,Culver City,WEST LOS ANGELES COLLEGE
Washington,Tacoma,TACOMA COMMUNITY COLLEGE
Utah,Salt Lk Cty,UNIV UTAH
El Dorado,So. Lake Tahoe,LAKE TAHOE COMMUNITY COLLEGE
San Bernardino,Sn Bernrdno,CSU SAN BERNARDINO
New York,Rochester,UNIV ROCHESTER
Santa Barbara,Santa Barbara,UC SANTA BARBARA SUMMER SESSION
Maine,Waterville,COLBY COLLEGE
Massachusetts,Worcester,QUINSIGAMOND CMTY COLLEGE
Orange,Irvine,IRVINE VALLEY COLLEGE
Utah,Salt Lk Cty,SALT LAKE CMTY COLLEGE
Los Angeles,Compton,COMPTON COLLEGE
Arizona,Phoenix,UNIV OF PHOENIX
Colorado,Golden,COLORADO SCHOOL MINES
Riverside,Palm Desert,COLLEGE OF THE DESERT
Virginia,Annandale,NORTHRN VIRGINIA CC ANNANDALE
San Diego,San Diego,SAN DIEGO STATE UNIVERSITY
El Dorado,South Lake Tahoe,LAKE TAHOE COMMUNITY COLLEGE
Washington,Bellevue,BELLEVUE CMTY COLLEGE
Florida,Tampa,UNIV SOUTH FLORIDA
Washington,"",WASHINGTON
Washington,Seattle,SOUTH SEATTLE CMTY COLLEGE
Washington,Auburn,GREEN RIVER COLLEGE
Illinois,Champaign,PARKLAND COLLEGE
Illinois,"",ILLINOIS
Texas,Austin,UNIV TEXAS AUSTIN
San Francisco,San Francisco,CITY COLLEGE SAN FRANCISCO
Virginia,Manassas,AMERICAN PUBLIC UNIV SYSTEM
Iowa,Ames,IOWA STATE UNIVERSITY
Washington,Lakewood,PIERCE COLLEGE
Pennsylvania,Blue Bell,MONTGOMERY COUNTY CMNTY COLG
Indiana,Bloomington,INDIANA UNIV BLOOMINGTON
New York,Ithaca,ITHACA COLLEGE
Pennsylvania,"",PENNSYLVANIA
Orange,Huntngtn Bh,GOLDEN WEST COLLEGE
Kansas,Overland Pk,JOHNSON COUNTY COMMUNITY COLL
Pennsylvania,Phila,UNIV PENNSYLVANIA UNDRGRD ADM
Alameda,Oakland,MERRITT COLLEGE
Tuolumne,Sonora,COLUMBIA COLLEGE
Santa Clara,Saratoga,WEST VALLEY COLLEGE
Riverside,Riverside,LA SIERRA UNIVERSITY
Orange,Costa Mesa,ORANGE COAST COLLEGE
Colorado,Colo Spgs,UNITED STATES AIR FORCE ACAD
New York,Rochester,MONROE COMMUNITY COLLEGE
Colorado,Boulder,UNIV COLORADO BOULDER
San Joaquin,Stockton,UNIVERSITY OF THE PACIFIC
Hawaii,Hilo,UNIV HAWAII AT HILO
Nevada,"",NEVADA
Los Angeles,Woodland Hills,LOS ANGELES PIERCE COLLEGE
West Virginia,Morgantown,WEST VIRGINIA UNIV
Riverside,Norco,NORCO COLLEGE
Delaware,Newark,UNIV DELAWARE
Los Angeles,La Verne,UNIV LA VERNE
Maryland,College Pk,UNIV OF MARYLAND
Maryland,Adelphi,UNIV MARYLAND UNIV COLLEGE
Colorado,Ft Collins,COLORADO STATE UNIV FT COLLINS
North Carolina,Charlotte,UNIV NORTH CAROLINA CHARLOTTE
Washington,Spokane,GONZAGA UNIVERSITY
Florida,Daytona Bch,EMBRY-RIDDLE AERON U FLORIDA
AUSTRALIA,N/A,INSTITUTION-AUSTRALIA/NEW ZEALAND
Lassen,Susanville,LASSEN COLLEGE
Pennsylvania,Phila,COMMUNITY COLG OF PHILADELPHIA
Texas,Austin,AUSTIN COMMUNITY COLL-TEXAS
North Carolina,Wilmington,UNIV NORTH CAROLINA WILMINGTON
Sonoma,Rohnert Park,SONOMA STATE UNIV SUMMER SESSION
Alameda,Berkeley,UC BERKELEY EXTENSION
Los Angeles,Los Angeles,LOS ANGELES SOUTHWEST COLLEGE
Stanislaus,Turlock,CSU STANISLAUS
Hawaii,Honolulu,CHAMINADE UNIV OF HONOLULU
Alabama,Tuscaloosa,UNIVERSITY ALABAMA TUSCALOOSA
New York,Purchase,SUNY PURCHASE COLLEGE
CANADA,N/A,UNIVERSITY OF TORONTO
New Jersey,Lincroft,BROOKDALE COMMUNITY COLLEGE
Humboldt,Eureka,COLLEGE OF THE REDWOODS
Pennsylvania,Hershey,PENN STATE U HERSHEY
Pennsylvania,Pittsburgh,CARNEGIE MELLON UNIVERSITY
Oregon,Forest Grv,PACIFIC UNIVERSITY
New Jersey,Piscataway,RUTGERS UNIVERSITY
New Mexico,Albuquerque,UNIV NEW MEXICO ALBUQUERQUE
Texas,Dallas,RICHLAND COLLEGE
Illinois,Palos Heights,MORAINE VALLEY CMTY COLLEGE
New York,Bronx,FORDHAM UNIVERSITY
MEXICO,N/A,"INSTITUTION-MEXICO, LATIN AM, S. AM"
Yolo,Woodland,WOODLAND COMMUNITY COLLEGE
Oregon,Portland,PORTLAND STATE UNIVERSITY
Los Angeles,Los Angeles,FASHION INST DSGN MERCH LOS A
New Jersey,Edison,MIDDLESEX COUNTY COLLEGE
JAPAN,N/A,INTRNATL CHRISTIAN UNIV JAPAN
Contra Costa,Pleasant Hill,DIABLO VALLEY COLLEGE
San Diego,San Diego,SAN DIEGO MIRAMAR COLLEGE
Louisiana,Baton Rouge,LOUISIANA ST UNIV BATON ROUGE
Wyoming,Laramie,UNIV WYOMING
Michigan,Ann Arbor,UNIV MICHIGAN ANN ARBOR
Oklahoma,Norman,UNIV OF OKLAHOMA
Ventura,Oxnard,OXNARD COLLEGE
San Diego,El Cajon,CUYAMACA COLLEGE
Ohio,Dayton,WRIGHT STATE UNIVERSITY DAYTN
Wisconsin,Milwaukee,UNIVERSITY OF WI MILWAUKEE
New York,New York,EUGENE LANG NEW SCHL LIB ARTS
Pennsylvania,Phila,DREXEL UNIVERSITY
Santa Clara,Cupertino,DE ANZA COLLEGE
Los Angeles,Claremont,SCRIPPS COLLEGE
Los Angeles,Los Angeles,OCCIDENTAL COLLEGE
San Bernardino,Victorville,VICTOR VALLEY COLLEGE
Maryland,Baltimore,JOHNS HOPKINS U UNDERGRAD ADM
Texas,College Sta,TEXAS A&M UNIV COLLEGE STA
Kansas,Wichita,WICHITA STATE UNIVERSITY
Colorado,Colordo Spg,UNIV COLORADO COLORADO SPGS
Oregon,"",OREGON
Rhode Island,Kingston,UNIV RHODE ISLAND
San Mateo,Atherton,MENLO COLLEGE
Los Angeles,Los Angeles,AMERICAN JEWISH UNIV
Riverside,Riverside,UC RIVERSIDE
Riverside,Riverside,UC RIVERSIDE EXTENSION
Yuba,Marysville,YUBA COLLEGE
Inyo,Deep Springs,DEEP SPRINGS COLL
Tuolumne,Columbia,COLUMBIA COLLEGE
New York,New York,COLUMBIA UNIV UNDERGRAD ADM
Oregon,Portland,UNIV PORTLAND
GERMANY,N/A,GERMANY
Oregon,Portland,REED COLLEGE
Sacramento,Sacramento,SACRAMENTO CITY COLLEGE
Sonoma,Santa Rosa,SANTA ROSA JUNIOR COLLEGE
Indiana,W Lafayette,PURDUE UNIV WEST LAFAYETTE
New York,"",NEW YORK
Oregon,Bend,CENTRAL OREGON COMMUNITY COLG
Texas,Waco,BAYLOR UNIVERSITY
Pennsylvania,Phila,TEMPLE UNIVERSITY
Ohio,Columbus,COLUMBUS STATE CMTY COLLEGE
New Mexico,Roswell,NEW MEXICO MILITARY INSTITUTE
Colorado,Colordo Spg,PIKES PEAK CMTY COLLEGE
Los Angeles,Santa Clarita,COLLEGE OF THE CANYONS
Michigan,"",MICHIGAN
Oregon,Eugene,LANE CMTY COLLEGE
Los Angeles,Torrance,EL CAMINO COLLEGE
Contra Costa,Pittsburg,LOS MEDANOS COLLEGE
Alabama,Auburn Univ,AUBURN UNIVERSITY
Kings,Lemoore,WEST HILLS COLLEGE LEMOORE
Texas,El Paso,EL PASO CMTY COLLEGE TX
Kansas,Manhattan,KANSAS ST UNIV MANHATTAN
New York,Jamaica,ST JOHNS UNIV JAMAICA
North Carolina,Winston-slm,WAKE FOREST UNIVERSITY
Santa Barbara,Santa Barbara,UC SANTA BARBARA EXTENSION
Virginia,Fairfax,GEORGE MASON UNIVERSITY
UNITED ARAB EMIRATES,N/A,UNITED ARAB EMIRATES
Arizona,Scottsdale,SCOTTSDALE CMTY COLL
Washington,Seattle,SEATTLE CENTRAL COMMUNITY COLL
Washington,Vancouver,CLARK COLLEGE WA
Los Angeles,Long Beach,CALIFORNIA STATE UNIV MENTOR
Santa Clara,San Jose,SAN JOSE CITY COLLEGE
New York,West Point,UNITED STATES MILITARY ACADEMY
New York,Utica,NOTRE DAME JUNIOR-SENIOR HS
Riverside,Moreno Valley,MORENO VALLEY COLLEGE
Illinois,Urbana,UNIV ILLINOIS URBANA
Orange,Mission Vjo,SADDLEBACK COLLEGE
Santa Cruz,Santa Cruz,UC SANTA CRUZ EXTENSION
Alameda,Oakland,LANEY COLLEGE
Ohio,Cincinnati,UNIV CINCINNATI
Alameda,Alameda,COLLEGE OF ALAMEDA
Arizona,Phoenix,UNIV PHOENIX
Nevada,Dyer,DEEP SPRINGS COLLEGE
New York,Syracuse,SYRACUSE UNIVERSITY
New York,Stony Brook,STONY BROOK UNIVERSITY SUNY
San Francisco,San Francisco,ACADEMY OF ART UNIVERSITY
Washington,Olympia,SOUTH PUGET SOUND CC
Los Angeles,Rncho Pl Vd,MARYMOUNT COLLEGE CA
Florida,Tampa,UNIVERSITY OF TAMPA
Los Angeles,Lancaster,ANTELOPE VALLEY COLLEGE
Monterey,Monterey,DEFENSE LANG INST
Massachusetts,Northampton,SMITH COLLEGE
New York,Suffern,ROCKLAND COMMUNITY COLLEGE
New Mexico,"",NEW MEXICO
Sacramento,Sacramento,COSUMNES RIVER COLLEGE
Minnesota,Minneapolis,UNIV MINNESOTA MINNEAPOLIS
Minnesota,Northfield,SAINT OLAF COLLEGE
Illinois,Chicago,HAROLD WASHINGTON COLG (LOOP)
District of Columbia,Washington,GEORGETOWN UNIV
Wisconsin,Madison,UNIV WISC MADISON
Riverside,Menifee,MOUNT SAN JACINTO COLLEGE
San Diego,Chula Vista,SOUTHWESTERN COLLEGE
Alameda,Oakland,MILLS COLLEGE
New York,New York,NEW YORK UNIVERSITY
New York,Buffalo,UNIVERSITY AT BUFFALO (SUNY)
Los Angeles,Los Angeles,UC LOS ANGELES SUMMER SESSION
San Francisco,San Francisco,SAN FRANCISCO STATE UNIVERSITY
Arizona,Mesa,MESA COMMUNITY COLLEGE
Ventura,Camarillo,CSU CHANNEL ISLANDS
Indiana,"",INDIANA
San Diego,San Diego,CALIFORNIA MIRAMAR UNIVERSITY
Arizona,Phoenix,PARADISE VALLEY CMTY COLL CNTR
Florida,Boca Raton,FLORIDA ATLANTIC UNIVERSITY
Florida,Tampa,HILLSBOROUGH CMTY COLLEGE
Riverside,San Jacinto,MOUNT SAN JACINTO COLLEGE
Mendocino,Ukiah,MENDOCINO COLLEGE
Riverside,Blythe,PALO VERDE COLLEGE
Illinois,Chicago,LOYOLA UNIV CHICAGO
Santa Cruz,Aptos,CABRILLO COLLEGE
Massachusetts,Boston,SUFFOLK UNIVERSITY
Nevada,Henderson,COLLEGE OF SOUTHERN NEVADA
San Bernardino,San Bernardino,CSU SAN BERNARDINO SUMMER SESSION
Sonoma,Rohnert Park,SONOMA STATE UNIVERSITY
Vermont,Burlington,UNIV VERMONT
Colorado,"",COLORADO
Nevada,Reno,TRUCKEE MEADOWS C C
Missouri,Kansas City,UNIV MISSOURI KANSAS CITY
Humboldt,Arcata,HUMBOLDT STATE UNIVERSITY
Wisconsin,Milwaukee,MARQUETTE UNIVERSITY
Missouri,Kirkwood,ST LOUIS CMTY COLL MERAMEC
UNITED KINGDOM,N/A,UNITED KINGDOM
Washington,Seattle,UNIVERSITY OF WASHINGTON
Contra Costa,Moraga,SAINT MARY'S COLLEGE
Tulare,Visalia,COLLEGE OF THE SEQUOIAS
Alabama,"",ALABAMA
JAPAN,N/A,SOPHIA UNIVERSITY
Michigan,Grand Rapds,GRAND RAPIDS CMNTY COLLEGE
San Joaquin,Stockton,SAN JOAQUIN DELTA COLLEGE
Los Angeles,Los Angeles,OTIS COLLEGE OF ART & DESIGN
Georgia,Atlanta,GEORGIA INSTITUTE TECHNOLOGY
Washington,Seattle,SEATTLE CENTRAL COLLEGE
Fresno,Fresno,CSU FRESNO
Missouri,St Louis,WASHINGTON UNIVERSITY
Ventura,Ventura,VENTURA COLLEGE
Massachusetts,"",MASSACHUSETTS
San Diego,Oceanside,MIRACOSTA COLLEGE
New York,Selden,SUFFOLK COUNTY CMNTY COLLEGE
ENGLAND,N/A,INSTITUTION IN EUROPE
Montana,Bozeman,MONTANA STATE UNIV BOZEMAN
El Dorado,S Lk Tahoe,LAKE TAHOE COMMUNITY COLLEGE
Merced,Merced,UC MERCED
Washington,Mt Vernon,SKAGIT VALLEY COLLEGE
Indiana,Notre Dame,UNIVERSITY OF NOTRE DAME
San Mateo,San Mateo,COLLEGE OF SAN MATEO
Fresno,Coalinga,WEST HILLS COLLEGE COALINGA
Maryland,Arnold,ANNE ARUNDEL COMMUNITY COLLEGE
Los Angeles,Los Angeles,CSU LOS ANGELES
U.S. Armed Forces – Europe,Apo,UNIV MARYLAND MANNHEIM CAMPUS
San Bernardino,Joshua Tree,COPPER MOUNTAIN COLL
Solano,Fairfield,SOLANO COMMUNITY COLLEGE
Pennsylvania,Univ Pk,PENNSYLVANIA STATE UNIVERSITY
Napa,Angwin,PACIFIC UNION COLLEGE
Washington,Bellingham,WESTERN WASHINGTON UNIVERSITY
Los Angeles,Los Angeles,UC LOS ANGELES HONORS PROG
Minnesota,St Cloud,ST CLOUD STATE UNIVERSITY
Orange,Santa Ana,SANTA ANA COLLEGE
Arizona,Yuma,ARIZONA WESTERN COLLEGE
Los Angeles,Claremont,CLAREMONT MCKENNA COLLEGE
Indiana,Indianaplis,INDIANA UNIV PURDUE UNI INDIAN
Orange,Costa Mesa,VANGUARD UNIV SOUTHERN CALIF
Contra Costa,San Pablo,CONTRA COSTA COLLEGE
Washington,Everett,EVERETT COMMUNITY COLLEGE
San Diego,San Marcos,CSU SAN MARCOS
Missouri,St Louis,ST LOUIS UNIVERSITY MO
Virginia,Charlottsvl,UNIV OF VIRGINIA UNDERGRADUATE
Los Angeles,Northridge,CSU NORTHRIDGE
Alameda,Livermore,LAS POSITAS COLLEGE
Fresno,Fresno,CLOVIS COMMUNITY COLLEGE
Monterey,Salinas,HARTNELL COLLEGE
Maryland,Columbia,HOWARD COMMUNITY COLLEGE
Nevada,Las Vegas,COLLEGE OF SOUTHERN NEVADA
New York,Bronxville,SARAH LAWRENCE COLLEGE
Hawaii,Honolulu,UNIV HAWAII MANOA
San Bernardino,Yucaipa,CRAFTON HILLS COLLEGE
Los Angeles,Long Beach,LONG BEACH CITY COLLEGE
Santa Clara,Gilroy,GAVILAN COLLEGE
Sacramento,Sacramento,AMERICAN RIVER COLLEGE
Los Angeles,Claremont,HARVEY MUDD COLLEGE
Los Angeles,Carson,CSU DOMINGUEZ HILLS
Nebraska,Lincoln,UNIV NEBRASKA LINCOLN
Colorado,Usaf Academ,UNITED STATES AIR FORCE ACAD
Washington,Seattle,SHORELINE CMTY COLLEGE
San Luis Obispo,San Luis Obispo,CAL POLY SAN LUIS OBISPO SUMMER SCH
Virginia,Norfolk,OLD DOMINION UNIVERSITY
Washington,Seattle,SEATTLE PACIFIC UNIVERSITY
Illinois,Carbondale,SOUTHERN ILLINOIS U CARBONDALE
North Carolina,Chapel Hill,UNIV NORTH CAROLINA CHAPEL HL
Los Angeles,Claremont,POMONA COLLEGE
Idaho,Boise,BOISE STATE UNIVERSITY
New York,New York,CUNY HUNTER COLLEGE
Pennsylvania,Reading,ALBRIGHT COLLEGE
Orange,Mission Viejo,SADDLEBACK COLLEGE
